,NAME,WEBSITE,PHONE,ADDRESS,LATITUDE,LONGITUDE,GF_MENU?,MENU_URL,THUMBNAIL,TAGS
13,Beff's,beffs.com,518-482-2333,"95 Everett Rd, Albany, NY 12205",42.692621,-73.775482,0,Offers GF pizza crust,http://s3-media2.ak.yelpcdn.com/bphoto/GKEFXMBvQFYsx24ASDLzgA/l.jpg,"pizza, beer, kid friendly"
19,Buca di Beppo,bucadibeppo.com,518-459-2822,"44 Wolf Rd, Colonie, NY 12205",42.712193,-73.816807,1,http://www.bucadibeppo.com/media/16896459/buca_menu_glutenfree_2011-03.pdf,http://www.promotionevents.com/BUCA.jpg,"gluten-free menu, restaurant, chain"
4,Carrabba's,carrabbas.com,518-785-8886,"675 Troy Schenectady Rd, Latham, NY 12110",42.754625,-73.772329,1,http://www.carrabbas.com/Content/menu-gluten-free,http://www.shesaved.com/wp-content/uploads/2013/02/Carrabbas-Printable-Coupon.jpeg,"gluten-free menu, italian, restaurant, chain"
23,Carrabba's,carrabbas.com,410-461-5200,"4430 Long Gate Pkwy, Ellicott City, MD 21043",39.250329,-76.814396,1,http://www.carrabbas.com/Content/menu-gluten-free,http://www.shesaved.com/wp-content/uploads/2013/02/Carrabbas-Printable-Coupon.jpeg,"gluten-free menu, italian, restaurant, chain"
20,Chipotle,chipotle.com,518-782-0648,"2 Wade Rd, Latham, NY 12110",42.755938,-73.776714,1,http://www.chipotle.com/en-US/menu/special_diet_information/special_diet_information.aspx,http://upload.wikimedia.org/wikipedia/en/thumb/3/3b/Chipotle_Mexican_Grill_logo.svg/200px-Chipotle_Mexican_Grill_logo.svg.png,"gluten-free menu, fast food, mexican, chain"
24,Chipotle,chipotle.com,410-997-1083,"10300 Little Patuxent Pkwy, Suite 1420, Columbia, MD 21044",39.216804,-76.857899,1,http://www.chipotle.com/en-US/menu/special_diet_information/special_diet_information.aspx,http://upload.wikimedia.org/wikipedia/en/thumb/3/3b/Chipotle_Mexican_Grill_logo.svg/200px-Chipotle_Mexican_Grill_logo.svg.png,"gluten-free menu, fast food, mexican, chain"
1,Dinosaur BBQ,dinosaurbarbque.com,518-308-0400,"377 River St, Troy, NY 12180",42.73426,-73.689326,1,http://www.dinosaurbarbque.com/media/documents/2011/5/Allergens.pdf,http://www.dancinghotdogs.com/wp-content/uploads/2012/12/dinosaur-bbq.gif,"gluten-free menu, barbecue, bbq, restaurant, local chain"
18,El Loco Mexican Cafe,ellocomexicancafe.com,518-436-1855,"465 Madison Ave, Albany, NY 12210",42.652756,-73.768215,1,http://www.ellocomexicancafe.com/wp-content/uploads/2012/12/GlutenFree_Revised.pdf,http://www.ellocomexicancafe.com/wp-content/themes/mataam/timthumb.php?src=http://www.ellocomexicancafe.com/wp-content/uploads/2012/10/487982_10151249360168373_37469802_n.jpg&w=&h=500&zc=1&q=100,"gluten-free menu, vegan friendly, kid friendly, mexican, restaurant"
5,Five Guys,fiveguys.com,518-285-4704,"600 North Greenbush Road, Rensselaer, NY 12144",42.646378,-73.697759,0,Everything GF except buns,http://www.weatethat.com/storage/five_guys_e_1680_1050.jpg?__SQUARESPACE_CACHEVERSION=1330199930219,"fries, fast food, kid friendly, chain"
7,Ninety Nine,99restaurants.com,518-446-9909,"107 Wolf Road, Colonie, NY 12205",42.716468,-73.809858,1,http://www.99restaurants.com/pdf/NINE14761_GlutenFreeMenu_T1.pdf,http://3.bp.blogspot.com/-8FbyZlechw4/T94LS7ZYgHI/AAAAAAAAB-M/xVmNlhUmcpA/s1600/ninety+nine.jpg,"gluten-free menu, burgers, bread/buns, beer, restaurant, chain"
15,Olive Garden,olivegarden.com,518-458-8687,"178 Wold Road, Colonie, NY 12205",42.714226,-73.822675,1,http://www.olivegarden.com/menu/gluten-allergen/,http://aboutfoursquare.com/wp-content/uploads/2012/07/logo-olivegardentuscany-rgb.jpeg,"gluten-free menu, pasta, kid friendly, italian, restaurant, chain"
6,Outback Steakhouse,outback.com,518-482-4863,"145 Wolf Road, Colonie, NY 12205",42.719266,-73.805434,1,http://www.outback.com/menu/pdf/glutenfree.pdf,http://www.hyattsville.org/images/pages/N145/outback-steakhouse.jpg,"gluten-free menu, steakhouse, restaurant, chain"
22,Outback Steakhouse,outback.com,410-480-0472,"4420 Long Gate Parkway, Ellicott City, MD 21043",39.250517,-76.814195,1,http://www.outback.com/menu/pdf/glutenfree.pdf,http://www.hyattsville.org/images/pages/N145/outback-steakhouse.jpg,"gluten-free menu, steakhouse, restaurant, chain"
8,P.F. Chang's,pfchangs.com,518-454-0040,"131 Colonie Center #305, Albany, NY 12205",42.710137,-73.818123,1,https://www.pfchangs.com/menu/,http://2.bp.blogspot.com/-4TrYRhuO7E0/TWaTsnV6R-I/AAAAAAAABIM/LrFw3E040lc/s1600/pf-changs.jpg,"gluten-free menu, dessert, kid friendly, chinese, takeout, restaurant, chain"
26,P.F. Chang's,pfchangs.com,410-730-5344,"10300 Little Patuxent Pkwy Suite 3020, Columbia, MD 21044",39.216804,-76.857899,1,https://www.pfchangs.com/menu/,http://2.bp.blogspot.com/-4TrYRhuO7E0/TWaTsnV6R-I/AAAAAAAABIM/LrFw3E040lc/s1600/pf-changs.jpg,"gluten-free menu, dessert, kid friendly, chinese, takeout, restaurant, chain"
12,Qdoba,qdoba.com,410-203-0010,"9050 Baltimore National Parkway, Suite 101, Ellicott City, MD 21042",39.277308,-76.824328,1,http://www.qdoba.com/downloads/Qdoba_Allergen_Info.pdf,http://downtownlincoln.org/media/business-directory/qdob.jpg,"gluten-free menu, fast food, mexican, chain"
21,Qdoba,qdoba.com,617-933-0096,"267 Washington Street, Boston, MA 02108",42.357761,-71.058162,1,http://www.qdoba.com/downloads/Qdoba_Allergen_Info.pdf,http://downtownlincoln.org/media/business-directory/qdob.jpg,"gluten-free menu, fast food, mexican, chain"
2,Red Robin,redrobin.com,518-782-5121,"880 Loudon Rd, Latham, NY 12110",42.754295,-73.758924,1,http://www.redrobin.com/pdf/Wheat_Gluten_Allergen_Menu.pdf,http://bargainbriana.com/wp-content/uploads/RedRobinLogo.jpg,"gluten-free menu, burgers, bread/buns, restaurant, kid friendly, chain"
14,Romano's Macaroni Grill,macaronigrill.com,518-446-9190,"1 Metro Park Rd, Albany, NY 12205",42.720602,-73.802483,1,http://www.macaronigrill.com/docs/nutritional/allergen-menu.pdf,http://blogs.trb.com/features/consumer/shopping/blog/MacaroniGrillLogo.jpg,"gluten-free menu, pasta, egg-free, nut-free, dairy-free, soy-free, restaurant, chain"
10,Sherry Lynn's Gluten Free Bakery,sherrylynnsglutenfree.net,518-786-7700,"836 Troy Schenectady Rd, Latham, NY 12110",42.759945,-73.786936,1,http://sherrylynnsglutenfree.net/menu.html,http://s3-media1.ak.yelpcdn.com/bphoto/UiaEDKDAWLLYteKpgYft-A/l.jpg,"gluten-free menu, dedicated gluten-free facility, pizza, sandwiches, pasta, bread/buns, mozzarella sticks, fries, doughnuts, breakfast, lunch, bakery, cafe, store"
16,Sovrana Pizza,sovranapizza.com,518-465-0961,"63 N Lake Ave, Albany, NY 12206",42.662777,-73.772432,1,http://www.sovranapizza.com/index.htm,http://www.sovranapizza.com/Sovrana_logo_1.jpg,pizza
17,Taste,tastealbany.com,518-694-3322,"30 S Pearl St, Albany, NY 12207",42.648977,-73.753405,1,http://www.tastealbany.com/menus/,http://images.talkingphonebook.com/images/timesunion/media_library/304/920/media7.jpg,"gluten-free menu, restaurant, chain"
9,The Melting Pot,meltingpot.com,518-862-1292,"Crossgates Mall, 1 Crossgates Mall Rd, Albany, NY 12203",42.7035,-73.712014,1,http://www.meltingpot.com/our-menu/gluten-free-menu.aspx,http://springsbargains.com/wp-content/uploads/2011/04/the-melting-pot-logo.png,"gluten-free menu, dessert, restaurant, chain"
11,The Pasta Factory,pastafactorylatham.com,518-785-7613,"952 Troy Schenectady Rd, Latham, NY 12110",42.763047,-73.798097,1,http://webv5.com/downloads/pasta-factory-gluten-free-menu.pdf,http://www.doubletakedeals.com/WebServices/DealLogoImageHandler.ashx?did=24662&width=320&height=180,"gluten-free menu, pasta, kid friendly, restaurant"
3,Uno Chicago Grill,unos.com,518-782-7166,"601 Troy Schenectady Rd, Latham, NY 12110",42.752542,-73.767699,1,http://www.unos.com/kiosk/nutrition/gluten.html,http://www.mobitree.mobi/sites/default/files/advertisers/unos.jpg,"gluten-free menu, dessert, pizza, burders, bread/buns, beer, restaurant, kid friendly, chain"
25,Uno Chicago Grill,unos.com,410-480-1400,"4470 Long Gate Parkway, Ellicott City, MD 21043",39.249248,-76.815545,1,http://www.unos.com/kiosk/nutrition/gluten.html,http://www.mobitree.mobi/sites/default/files/advertisers/unos.jpg,"gluten-free menu, dessert, pizza, burders, bread/buns, beer, restaurant, kid friendly, chain"
